item_id,title,images,categories,description,details,average_rating,rating_number
b00fa7t630,"gq print access,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51zK4tOa80L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51zK4tOa80L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91evhTdGmjL._AC_SL1500_.jpg'}",magazine subscriptions,"product description, dive into, gq, ’s culture-defining covers with timothée chalamet, travis scott, zendaya, daniel craig, lebron james, and more. from dynamic storytelling to elevated style—if it’s at the center of the zeitgeist, it’s in the magazine. subscribe now and never miss bleeding-edge fashion from all over the world, captivating photography from innovative artists, and unforgettable profiles and longform journalism., amazon.com review, gq, is the flagship of men's fashion and style. to be, gq, is to be forward-looking, progressive and cutting-edge., gq, is home to some of the most elevated and respected in photography, design, reporting and writing in the men’s space., gq, fosters a community where readers gather to be inspired and exchange ideas around style, creativity and culture.  as masculinity evolves and men's fashion has moved to the center of the global pop-culture conversation,, gq, 's authority has never been broader or stronger.  subscribe to, gq, and become a part of this forward-looking, progressive and cutting-edge community; you’re not going to want to miss out.","{'Date First Available': 'June 2, 2020', 'Manufacturer': 'Conde Nast Publications'}",3.6,10
b00f8p62po,"hi-fi +,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51XrCJNvBUL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51XrCJNvBUL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/616Q01HiaYL._AC_SL1024_.jpg'}",magazine subscriptions,"hi-fi+ is europe's premier english-language high-end audio magazine. whether it's the latest in digital audio technology or the best turntable you've ever heard, hi-fi+ magazine is the ultimate audiophile authority.","{'Date First Available': 'September 19, 2013', 'Manufacturer': 'Absolute Media Ltd/Hi-Fi+'}",4.4,44
b003f1w9t6,paper crafts,"{'thumb': 'https://m.media-amazon.com/images/I/51RWHr71XYL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51RWHr71XYL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71FkJqLbXIL._AC_SL1000_.jpg'}",magazine subscriptions,,"{'Date First Available': 'May 12, 2021'}",3.0,3
b00007axx1,horse illustrated,"{'thumb': 'https://m.media-amazon.com/images/I/51Al7cw06-L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51Al7cw06-L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/615NzQPObOL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Package Dimensions': '10.79 x 8.11 x 0.31 inches; 9.7 Ounces', 'Date First Available': 'September 16, 2006'}",4.5,284
b00007azs2,motorcyclist,"{'thumb': 'https://m.media-amazon.com/images/I/518AEn90oNL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/518AEn90oNL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71N4Qg1OMKL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'April 30, 2015'}",3.0,10
b01fv533kw,"slam,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61BXzS98v1L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61BXzS98v1L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71Uve3tlQKL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'May 18, 2016'}",4.4,189
b00007b1i4,"shutterbug,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51catGHD-4L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51catGHD-4L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71UEWsJgJYL._AC_SL1024_.jpg'}",magazine subscriptions,information and buying source for serious photographers. each issue is filled with articles on photo equipment and techniques.,"{'Date First Available': 'April 30, 2015', 'Manufacturer': 'The Enthusiast Network'}",4.1,94
b004s36v9o,"travel - sunday times travel magazine,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51qGuhAWykL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51qGuhAWykL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91AyPzFm0gL._AC_SL1500_.jpg'}",magazine subscriptions,,"{'Date First Available': 'March 15, 2011', 'Manufacturer': 'News Intl Dist Ltd/ Subs Dept'}",4.3,2
b01hf4aqie,"allure all access,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51HwPQywj8L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51HwPQywj8L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71K+5LXviGL._AC_SL1020_.jpg'}",magazine subscriptions,"product description, allure, is the beauty expert, an insider’s guide to a woman's total image., allure's, mission is to investigate and celebrate beauty and fashion with objectivity and candor and to examine appearance in a larger cultural context. through its journalistic approach and high aesthetic standards,, allure, delivers content with credentials, which yields unwavering consumer trust., amazon.com review, allure, is the gold standard in beauty. with three decades of expertise,, allure, continues to influence, elevate, and redefine the beauty industry. with a truthful journalistic approach that is underscored by the best of beauty awards,, allure, spotlights every aspect of the beauty industry. from the latest trends to the best new products,, allure, provides beauty lovers and newcomers alike with the tips and tools to take their routines to the next level., allure, is redefining the very definition of beauty, continuing to lead cultural conversations that challenge norms and illustrate what representation really looks like in order to broaden the way society sees beauty today.  subscribe to, allure, to elevate your beauty routine and take part in the conversations that are redefining beauty as we know it.","{'Date First Available': 'June 22, 2016', 'Manufacturer': 'Conde Nast'}",3.0,2
b01f2mkvx6,"porter,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51GGZao-3GL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51GGZao-3GL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91bjbxZWtjL._AC_SL1500_.jpg'}",magazine subscriptions,,"{'Date First Available': 'May 2, 2016', 'Manufacturer': 'The NET-A-PORTER Group'}",4.3,7
b00062pby2,"wisconsin game & fish,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51gSSc2Tp9L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51gSSc2Tp9L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/917X3RyzmrL._AC_SL1500_.jpg'}",magazine subscriptions,everything you need to find great hunting and fishing in wisconsin.,"{'Date First Available': 'September 14, 2006', 'Manufacturer': 'Outdoor Sportsman Group - Integrated Media'}",3.5,7
b00o055o48,"vogue all access renewal offer,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61AajALMS2L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61AajALMS2L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/913N0iFO2bL._AC_SL1500_.jpg'}",magazine subscriptions,"product description, vogue, places fashion in the context of culture and the world we live in—what we wear, how we live, who leads and inspires us., vogue, immerses itself in fashion, always leading readers to what will happen next. thought-provoking, relevant, values driven and influential,, vogue, defines the culture of fashion., amazon.com review, vogue, is the fashion authority. the foundation of, vogue, ’s leadership and authority is the brand’s unique role as a cultural barometer for a global audience., vogue, celebrates independence, individuality, and creativity., vogue, seeks to uplift the power of communities and families. honoring the craft and meaning of fashion, discovering new talent, living sustainably, and insisting on inclusivity and respect are just some of the ways, vogue, is paving the way forward., vogue, ’s largest issue, the september issue, is a cultural moment in and of itself.  always influential,, vogue, continues to lead its readers to what will happen next. subscribe to, vogue, magazine to be a part of the future of fashion.","{'Date First Available': 'September 28, 2014', 'Manufacturer': 'Conde Nast'}",3.7,12
b000yzb2hg,nick jr. magazine,"{'thumb': 'https://m.media-amazon.com/images/I/61HN0tKwXnL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61HN0tKwXnL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'April 30, 2015'}",3.9,5
b0007ctj1w,dolls house world,"{'thumb': 'https://m.media-amazon.com/images/I/51Krr2F75oL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51Krr2F75oL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'July 24, 2020'}",4.3,5
b002pxvz3q,"equus,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/61ujHBX6gfL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61ujHBX6gfL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91tBr+b59tL._AC_SL1500_.jpg'}",magazine subscriptions,"the horse owner’s resource, equus provides vital information about horse care and management along with valuable insights into equine behavior and training. besides reporting on the latest equine research each month, equus can help you understand and influence your horse’s behavior, recognize signs of illness or injury, and solve your riding and training problems. plus you’ll get in-depth articles on horse breeds that you won’t find anywhere else.","{'Date First Available': 'September 22, 2009', 'Manufacturer': 'Active Interest Media'}",4.6,177
b00bb0r6lo,"he-man and masters of universe,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/518eFan5-nL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/518eFan5-nL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/91y9x16qAoL._AC_SL1500_.jpg'}",magazine subscriptions,,"{'Date First Available': 'February 5, 2013', 'Manufacturer': 'Dc Comics'}",1.0,1
b00buvj78y,"sally field, julia roberts, matthew perry, george burns, coolio - january 29, 1996 people magazine","{'thumb': 'https://m.media-amazon.com/images/I/51ampogkUdL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51ampogkUdL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/A17Eu7Qk0jL._AC_SL1500_.jpg'}",magazine subscriptions,,"{'Date First Available': 'May 7, 2013'}",5.0,1
b0000936cq,"relevant,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51lohYNMxML._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51lohYNMxML._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"relevant is a bimonthly lifestyle magazine for twentysomethings covering life, culture and spiritual issues. its unique perspective pushes boundaries, asks questions, spots trends, challenges worldviews - and helps you pursue god in everyday life","{'Date First Available': 'September 18, 2006', 'Manufacturer': 'Relevant Media Group'}",3.6,27
b00005qje0,the english garden,"{'thumb': 'https://m.media-amazon.com/images/I/71+Vm+vkSaL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/71+Vm+vkSaL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/A1sccpM3iFL._AC_SL1500_.jpg'}",magazine subscriptions,,"{'Date First Available': 'September 19, 2006'}",4.7,222
b00006k1es,"acadiana profile,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/41SJ+cbh25L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41SJ+cbh25L._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,feature stories on the cajun country of south louisiana.,"{'Date First Available': 'September 14, 2006', 'Manufacturer': 'Renaissance Publishing'}",5.0,1
b00005niqo,"more,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/511T1mhbkGL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/511T1mhbkGL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81n5TrqhrIL._AC_SL1500_.jpg'}",magazine subscriptions,,"{'Date First Available': 'September 19, 2006', 'Manufacturer': 'Meredith'}",3.9,88
b002gwd4f8,"intermezzo magazine,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/617tK9Jh4WL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/617tK9Jh4WL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/A14tpKSxDdL._AC_SL1500_.jpg'}",magazine subscriptions,"intemezzo is for passionate-about-life readers who enjoy cooking and entertaining at home and traveling in search of wonderful life experiences. great foods, wines and spirits, kitchen, home decor and renovation, wellness and travel are in each issue. it's a one-stop shop to the great experiences of life!","{'Date First Available': 'July 10, 2009', 'Manufacturer': 'T.F. Associates, Inc.'}",3.7,10
b00006kfss,"good housekeeping - british edition,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51a1Z40jb1L._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51a1Z40jb1L._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"complete lifestyle magazine focused on home and family. combines fashion, beauty, homes, gardening, family and health issues with cookery and consumer features, researched and tested in the good housekeeping institute.","{'Date First Available': 'September 14, 2006', 'Manufacturer': 'National Magazine Company Ltd'}",5.0,5
b000h1r1qi,"quick quilts,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/512Oh4eBgnL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/512Oh4eBgnL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/A1urwcj7rHL._AC_SL1500_.jpg'}",magazine subscriptions,"filled with time-saving secrets and quick, fun projects that make it easy for you to create amazing quilts! perfect for both beginners and seasoned quilters. every issue includes 14+ quick & easy quilting projects, quiltmaking fundamentals, step-by-step instructions and fun gift ideas! published 6 times a year.","{'Date First Available': 'September 19, 2006', 'Manufacturer': 'F+W Subscription Services, LLC'}",4.5,44
b00006kx6l,"small farm today : total concept small farming gardening & r,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/510SG4190FL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/510SG4190FL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"discusses alternative and traditional crops, livestock, and direct marketing, designed to help make small and family farmers profitable and sustainable.","{'Date First Available': 'September 16, 2006', 'Manufacturer': 'Missouri Farm Publishing Inc'}",2.7,3
b007tbwz3i,sagewoman magazine,"{'thumb': 'https://m.media-amazon.com/images/I/61CuNzBk1ML._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/61CuNzBk1ML._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'April 12, 2012'}",3.9,24
b00008gt3f,the writer,"{'thumb': 'https://m.media-amazon.com/images/I/51e1oVw1KzL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51e1oVw1KzL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61rOgWqyxBL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'September 18, 2006'}",4.4,185
b073lh2p6g,"popular science,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/51DBKDjxRhL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51DBKDjxRhL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61DS+QCOzcL._AC_SL1024_.jpg'}",magazine subscriptions,"the 'what's new'"" magazine of science and technology. covering the latest developments in cars, electronics, communications, tools, energy, aviation, science, space exploration and much more.","{'Date First Available': 'July 6, 2017', 'Manufacturer': 'Bonnier Corpiration'}",4.2,32
b00006kaoo,crochet world,"{'thumb': 'https://m.media-amazon.com/images/I/51P5DYlRsNL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/51P5DYlRsNL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71gRkg1OueL._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'September 14, 2006'}",4.5,498
b00005n7xf,london review of books,"{'thumb': 'https://m.media-amazon.com/images/I/41dZkQVzsoL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41dZkQVzsoL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/516bxXCiY6L._AC_SL1024_.jpg'}",magazine subscriptions,,"{'Date First Available': 'September 19, 2006'}",4.3,216
b07cxc3392,"entrepreneur magazine,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/614EqyJl1BL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/614EqyJl1BL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,"entrepreneur magazine is for businesses owners, offering inspiration and information on marketing, management, technology, the latest trends and strategies.","{'Date First Available': 'May 14, 2018', 'Manufacturer': 'Entrepreneur Media Inc'}",4.3,75
b01a9fxt7q,"vintage collector,print magazine","{'thumb': 'https://m.media-amazon.com/images/I/41sDOfmJLrL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41sDOfmJLrL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61OJxt4A0qL._AC_SL1024_.jpg'}",magazine subscriptions,beckett vintage collector is the house of latest and accurate information in the world of vintage card collecting. the magazine is dedicated to covering the vintage trading cards and collectibles market. each issue of beckett vintage collector contains 112 pages with colourful images and informative articles written by industry experts.,"{'Date First Available': 'January 6, 2016', 'Manufacturer': 'Beckett Collectibles Llc'}",3.9,8
b0160cqbmc,poetry,"{'thumb': 'https://m.media-amazon.com/images/I/41QsZC24CKL._AC_SR38,50_.jpg', 'large': 'https://m.media-amazon.com/images/I/41QsZC24CKL._AC_.jpg', 'variant': 'MAIN', 'hi_res': None}",magazine subscriptions,,"{'Date First Available': 'September 30, 2015'}",4.1,30
